ticker,year,record,pf,pa,expected,comp
min,2008,"
  Record: 10-6-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 379 (23.7/g) 12th of 32,Points Against: 333 (20.8/g) 13th of 32,Expected W-L: 9.2-6.8,"SRS: 4.04 (10th of 32), 
  SOS: 1.16
"
nwe,2008,"
  Record: 11-5-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 410 (25.6/g) 8th of 32,Points Against: 309 (19.3/g) 8th of 32,Expected W-L: 10.6-5.4,"SRS: 3.91 (11th of 32), 
  SOS: -2.40
"
nor,2008,"
  Record: 8-8-0, 4th	NFC South Division
   (Schedule and Results)
",Points For: 463 (28.9/g) 1st of 32,Points Against: 393 (24.6/g) 26th of 32,Expected W-L: 9.5-6.5,"SRS: 4.05 (9th of 32), 
  SOS: -0.33
"
nyg,2008,"
  Record: 12-4-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 427 (26.7/g) 3rd of 32,Points Against: 294 (18.4/g) 5th of 32,Expected W-L: 11.3-4.7,"SRS: 8.37 (4th of 32), 
  SOS: .06
"
nyj,2008,"
  Record: 9-7-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 405 (25.3/g) 9th of 32,Points Against: 356 (22.3/g) 18th of 32,Expected W-L: 9.2-6.8,"SRS: .22 (17th of 32), 
  SOS: -2.84
"
rai,2008,"
  Record: 5-11-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 263 (16.4/g) 29th of 32,Points Against: 388 (24.3/g) 24th of 32,Expected W-L: 4.6-11.4,"SRS: -7.48 (28th of 32), 
  SOS: .33
"
phi,2008,"
  Record: 9-6-1, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 416 (26.0/g) 6th of 32,Points Against: 289 (18.1/g) 4th of 32,Expected W-L: 11.3-4.7,"SRS: 7.83 (5th of 32), 
  SOS: -0.11
"
pit,2008,"
  Record: 12-4-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 347 (21.7/g) 20th of 32,Points Against: 223 (13.9/g) 1st of 32,Expected W-L: 11.8-4.2,"SRS: 9.80 (2nd of 32), 
  SOS: 2.05
"
sdg,2008,"
  Record: 8-8-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 439 (27.4/g) 2nd of 32,Points Against: 347 (21.7/g) 15th of 32,Expected W-L: 10.2-5.8,"SRS: 4.96 (8th of 32), 
  SOS: -0.79
"
sfo,2008,"
  Record: 7-9-0, 2nd	NFC West Division
   (Schedule and Results)
",Points For: 339 (21.2/g) 22nd of 32,Points Against: 381 (23.8/g) 23rd of 32,Expected W-L: 6.9-9.1,"SRS: -5.31 (25th of 32), 
  SOS: -2.69
"
sea,2008,"
  Record: 4-12-0, 3rd	NFC West Division
   (Schedule and Results)
",Points For: 294 (18.4/g) 25th of 32,Points Against: 392 (24.5/g) 25th of 32,Expected W-L: 5.4-10.6,"SRS: -7.64 (29th of 32), 
  SOS: -1.51
"
tam,2008,"
  Record: 9-7-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 361 (22.6/g) 19th of 32,Points Against: 323 (20.2/g) 10th of 32,Expected W-L: 9.0-7.0,"SRS: 2.27 (14th of 32), 
  SOS: -0.11
"
oti,2008,"
  Record: 13-3-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 375 (23.4/g) 14th of 32,Points Against: 234 (14.6/g) 2nd of 32,Expected W-L: 12.1-3.9,"SRS: 8.94 (3rd of 32), 
  SOS: .13
"
was,2008,"
  Record: 8-8-0, 4th	NFC East Division
   (Schedule and Results)
",Points For: 265 (16.6/g) 28th of 32,Points Against: 296 (18.5/g) 6th of 32,Expected W-L: 7.0-9.0,"SRS: -1.78 (20th of 32), 
  SOS: .16
"
crd,2009,"
  Record: 10-6-0, 1st	NFC West Division
   (Schedule and Results)
",Points For: 375 (23.4/g) 11th of 32,Points Against: 325 (20.3/g) 14th of 32,Expected W-L: 9.3-6.7,"SRS: -0.28 (20th of 32), 
  SOS: -3.41
"
atl,2009,"
  Record: 9-7-0, 2nd	NFC South Division
   (Schedule and Results)
",Points For: 363 (22.7/g) 13th of 32,Points Against: 325 (20.3/g) 14th of 32,Expected W-L: 9.0-7.0,"SRS: 5.03 (11th of 32), 
  SOS: 2.66
"
rav,2009,"
  Record: 9-7-0, 2nd	AFC North Division
   (Schedule and Results)
",Points For: 391 (24.4/g) 9th of 32,Points Against: 261 (16.3/g) 3rd of 32,Expected W-L: 11.6-4.4,"SRS: 7.48 (4th of 32), 
  SOS: -0.65
"
buf,2009,"
  Record: 6-10-0, 4th	AFC East Division
   (Schedule and Results)
",Points For: 258 (16.1/g) 28th of 32,Points Against: 326 (20.4/g) 16th of 32,Expected W-L: 5.8-10.2,"SRS: -1.82 (21st of 32), 
  SOS: 2.43
"
car,2009,"
  Record: 8-8-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 315 (19.7/g) 21st of 32,Points Against: 308 (19.3/g) 9th of 32,Expected W-L: 8.2-7.8,"SRS: 3.91 (12th of 32), 
  SOS: 3.47
"
chi,2009,"
  Record: 7-9-0, 3rd	NFC North Division
   (Schedule and Results)
",Points For: 327 (20.4/g) 19th of 32,Points Against: 375 (23.4/g) 21st of 32,Expected W-L: 6.7-9.3,"SRS: -3.89 (23rd of 32), 
  SOS: -0.89
"
cin,2009,"
  Record: 10-6-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 305 (19.1/g) 22nd of 32,Points Against: 291 (18.2/g) 6th of 32,Expected W-L: 8.4-7.6,"SRS: .66 (16th of 32), 
  SOS: -0.21
"
cle,2009,"
  Record: 5-11-0, 4th	AFC North Division
   (Schedule and Results)
",Points For: 245 (15.3/g) 29th of 32,Points Against: 375 (23.4/g) 21st of 32,Expected W-L: 4.3-11.7,"SRS: -8.38 (27th of 32), 
  SOS: -0.26
"
dal,2009,"
  Record: 11-5-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 361 (22.6/g) 14th of 32,Points Against: 250 (15.6/g) 2nd of 32,Expected W-L: 11.3-4.7,"SRS: 7.15 (7th of 32), 
  SOS: .21
"
den,2009,"
  Record: 8-8-0, 2nd	AFC West Division
   (Schedule and Results)
",Points For: 326 (20.4/g) 20th of 32,Points Against: 324 (20.3/g) 12th of 32,Expected W-L: 8.1-7.9,"SRS: .32 (17th of 32), 
  SOS: .20
"
det,2009,"
  Record: 2-14-0, 4th	NFC North Division
   (Schedule and Results)
",Points For: 262 (16.4/g) 27th of 32,Points Against: 494 (30.9/g) 32nd of 32,Expected W-L: 2.9-13.1,"SRS: -14.38 (31st of 32), 
  SOS: .12
"
gnb,2009,"
  Record: 11-5-0, 2nd	NFC North Division
   (Schedule and Results)
",Points For: 461 (28.8/g) 3rd of 32,Points Against: 297 (18.6/g) 7th of 32,Expected W-L: 11.8-4.2,"SRS: 7.36 (5th of 32), 
  SOS: -2.89
"
htx,2009,"
  Record: 9-7-0, 2nd	AFC South Division
   (Schedule and Results)
",Points For: 388 (24.3/g) 10th of 32,Points Against: 333 (20.8/g) 17th of 32,Expected W-L: 9.4-6.6,"SRS: 1.96 (13th of 32), 
  SOS: -1.47
"
clt,2009,"
  Record: 14-2-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 416 (26.0/g) 7th of 32,Points Against: 307 (19.2/g) 8th of 32,Expected W-L: 10.8-5.2,"SRS: 5.93 (10th of 32), 
  SOS: -0.88
"
jax,2009,"
  Record: 7-9-0, 4th	AFC South Division
   (Schedule and Results)
",Points For: 290 (18.1/g) 24th of 32,Points Against: 380 (23.8/g) 24th of 32,Expected W-L: 5.5-10.5,"SRS: -6.49 (26th of 32), 
  SOS: -0.87
"
kan,2009,"
  Record: 4-12-0, 4th	AFC West Division
   (Schedule and Results)
",Points For: 294 (18.4/g) 23rd of 32,Points Against: 424 (26.5/g) 29th of 32,Expected W-L: 4.7-11.3,"SRS: -8.43 (28th of 32), 
  SOS: -0.30
"
ram,2009,"
  Record: 1-15-0, 4th	NFC West Division
   (Schedule and Results)
",Points For: 175 (10.9/g) 32nd of 32,Points Against: 436 (27.3/g) 31st of 32,Expected W-L: 1.6-14.4,"SRS: -17.44 (32nd of 32), 
  SOS: -1.12
"
mia,2009,"
  Record: 7-9-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 360 (22.5/g) 15th of 32,Points Against: 390 (24.4/g) 25th of 32,Expected W-L: 7.2-8.8,"SRS: 1.68 (15th of 32), 
  SOS: 3.56
"
min,2009,"
  Record: 12-4-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 470 (29.4/g) 2nd of 32,Points Against: 312 (19.5/g) 10th of 32,Expected W-L: 11.6-4.4,"SRS: 7.17 (6th of 32), 
  SOS: -2.71
"
nwe,2009,"
  Record: 10-6-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 427 (26.7/g) 6th of 32,Points Against: 285 (17.8/g) 5th of 32,Expected W-L: 11.6-4.4,"SRS: 11.21 (1st of 32), 
  SOS: 2.34
"
nor,2009,"
  Record: 13-3-0, 1st	NFC South Division
   (Schedule and Results)
",Points For: 510 (31.9/g) 1st of 32,Points Against: 341 (21.3/g) 20th of 32,Expected W-L: 11.6-4.4,"SRS: 10.76 (2nd of 32), 
  SOS: .19
"
nyg,2009,"
  Record: 8-8-0, 3rd	NFC East Division
   (Schedule and Results)
",Points For: 402 (25.1/g) 8th of 32,Points Against: 427 (26.7/g) 30th of 32,Expected W-L: 7.4-8.6,"SRS: .08 (18th of 32), 
  SOS: 1.65
"
nyj,2009,"
  Record: 9-7-0, 2nd	AFC East Division
   (Schedule and Results)
",Points For: 348 (21.8/g) 17th of 32,Points Against: 236 (14.8/g) 1st of 32,Expected W-L: 11.4-4.6,"SRS: 8.58 (3rd of 32), 
  SOS: 1.58
"
rai,2009,"
  Record: 5-11-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 197 (12.3/g) 31st of 32,Points Against: 379 (23.7/g) 23rd of 32,Expected W-L: 2.8-13.2,"SRS: -10.27 (30th of 32), 
  SOS: 1.11
"
phi,2009,"
  Record: 11-5-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 429 (26.8/g) 5th of 32,Points Against: 337 (21.1/g) 19th of 32,Expected W-L: 10.2-5.8,"SRS: 5.99 (9th of 32), 
  SOS: .24
"
pit,2009,"
  Record: 9-7-0, 2nd	AFC North Division
   (Schedule and Results)
",Points For: 368 (23.0/g) 12th of 32,Points Against: 324 (20.3/g) 12th of 32,Expected W-L: 9.2-6.8,"SRS: 1.69 (14th of 32), 
  SOS: -1.06
"
sdg,2009,"
  Record: 13-3-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 454 (28.4/g) 4th of 32,Points Against: 320 (20.0/g) 11th of 32,Expected W-L: 11.1-4.9,"SRS: 6.64 (8th of 32), 
  SOS: -1.73
"
sfo,2009,"
  Record: 8-8-0, 2nd	NFC West Division
   (Schedule and Results)
",Points For: 330 (20.6/g) 18th of 32,Points Against: 281 (17.6/g) 4th of 32,Expected W-L: 9.5-6.5,"SRS: .05 (19th of 32), 
  SOS: -3.01
"
sea,2009,"
  Record: 5-11-0, 3rd	NFC West Division
   (Schedule and Results)
",Points For: 280 (17.5/g) 25th of 32,Points Against: 390 (24.4/g) 25th of 32,Expected W-L: 5.0-11.0,"SRS: -9.31 (29th of 32), 
  SOS: -2.43
"
tam,2009,"
  Record: 3-13-0, 4th	NFC South Division
   (Schedule and Results)
",Points For: 244 (15.3/g) 30th of 32,Points Against: 400 (25.0/g) 27th of 32,Expected W-L: 3.8-12.2,"SRS: -5.64 (25th of 32), 
  SOS: 4.11
"
oti,2009,"
  Record: 8-8-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 354 (22.1/g) 16th of 32,Points Against: 402 (25.1/g) 28th of 32,Expected W-L: 6.8-9.2,"SRS: -2.76 (22nd of 32), 
  SOS: .24
"
was,2009,"
  Record: 4-12-0, 4th	NFC East Division
   (Schedule and Results)
",Points For: 266 (16.6/g) 26th of 32,Points Against: 336 (21.0/g) 18th of 32,Expected W-L: 5.8-10.2,"SRS: -4.57 (24th of 32), 
  SOS: -0.19
"
crd,2010,"
  Record: 5-11-0, 4th	NFC West Division
   (Schedule and Results)
",Points For: 289 (18.1/g) 26th of 32,Points Against: 434 (27.1/g) 30th of 32,Expected W-L: 4.4-11.6,"SRS: -12.66 (31st of 32), 
  SOS: -3.60
"
atl,2010,"
  Record: 13-3-0, 1st	NFC South Division
   (Schedule and Results)
",Points For: 414 (25.9/g) 5th of 32,Points Against: 288 (18.0/g) 5th of 32,Expected W-L: 11.2-4.8,"SRS: 6.09 (6th of 32), 
  SOS: -1.79
"
rav,2010,"
  Record: 12-4-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 357 (22.3/g) 16th of 32,Points Against: 270 (16.9/g) 3rd of 32,Expected W-L: 10.6-5.4,"SRS: 6.44 (5th of 32), 
  SOS: 1.00
"
buf,2010,"
  Record: 4-12-0, 4th	AFC East Division
   (Schedule and Results)
",Points For: 283 (17.7/g) 28th of 32,Points Against: 425 (26.6/g) 28th of 32,Expected W-L: 4.4-11.6,"SRS: -4.61 (26th of 32), 
  SOS: 4.27
"
car,2010,"
  Record: 2-14-0, 4th	NFC South Division
   (Schedule and Results)
",Points For: 196 (12.3/g) 32nd of 32,Points Against: 408 (25.5/g) 26th of 32,Expected W-L: 2.4-13.6,"SRS: -13.19 (32nd of 32), 
  SOS: .06
"
chi,2010,"
  Record: 11-5-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 334 (20.9/g) 21st of 32,Points Against: 286 (17.9/g) 4th of 32,Expected W-L: 9.5-6.5,"SRS: 4.11 (9th of 32), 
  SOS: 1.11
"
cin,2010,"
  Record: 4-12-0, 4th	AFC North Division
   (Schedule and Results)
",Points For: 322 (20.1/g) 22nd of 32,Points Against: 395 (24.7/g) 24th of 32,Expected W-L: 6.1-9.9,"SRS: -1.42 (19th of 32), 
  SOS: 3.14
"
cle,2010,"
  Record: 5-11-0, 3rd	AFC North Division
   (Schedule and Results)
",Points For: 271 (16.9/g) 31st of 32,Points Against: 332 (20.8/g) 13th of 32,Expected W-L: 6.1-9.9,"SRS: -1.47 (20th of 32), 
  SOS: 2.34
"
dal,2010,"
  Record: 6-10-0, 3rd	NFC East Division
   (Schedule and Results)
",Points For: 394 (24.6/g) 7th of 32,Points Against: 436 (27.3/g) 31st of 32,Expected W-L: 7.0-9.0,"SRS: -2.15 (23rd of 32), 
  SOS: .47
"
den,2010,"
  Record: 4-12-0, 4th	AFC West Division
   (Schedule and Results)
",Points For: 344 (21.5/g) 19th of 32,Points Against: 471 (29.4/g) 32nd of 32,Expected W-L: 5.2-10.8,"SRS: -8.91 (29th of 32), 
  SOS: -0.97
"
det,2010,"
  Record: 6-10-0, 3rd	NFC North Division
   (Schedule and Results)
",Points For: 362 (22.6/g) 15th of 32,Points Against: 369 (23.1/g) 19th of 32,Expected W-L: 7.8-8.2,"SRS: 1.91 (13th of 32), 
  SOS: 2.35
"
gnb,2010,"
  Record: 10-6-0, 2nd	NFC North Division
   (Schedule and Results)
",Points For: 388 (24.3/g) 10th of 32,Points Against: 240 (15.0/g) 2nd of 32,Expected W-L: 12.1-3.9,"SRS: 10.94 (2nd of 32), 
  SOS: 1.69
"
htx,2010,"
  Record: 6-10-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 390 (24.4/g) 9th of 32,Points Against: 427 (26.7/g) 29th of 32,Expected W-L: 7.1-8.9,"SRS: -1.85 (22nd of 32), 
  SOS: .47
"
clt,2010,"
  Record: 10-6-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 435 (27.2/g) 4th of 32,Points Against: 388 (24.3/g) 23rd of 32,Expected W-L: 9.1-6.9,"SRS: 2.88 (10th of 32), 
  SOS: -0.06
"
jax,2010,"
  Record: 8-8-0, 2nd	AFC South Division
   (Schedule and Results)
",Points For: 353 (22.1/g) 18th of 32,Points Against: 419 (26.2/g) 27th of 32,Expected W-L: 6.4-9.6,"SRS: -4.51 (25th of 32), 
  SOS: -0.39
"
kan,2010,"
  Record: 10-6-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 366 (22.9/g) 14th of 32,Points Against: 326 (20.4/g) 11th of 32,Expected W-L: 9.1-6.9,"SRS: -0.69 (18th of 32), 
  SOS: -3.19
"
ram,2010,"
  Record: 7-9-0, 1st	NFC West Division
   (Schedule and Results)
",Points For: 289 (18.1/g) 26th of 32,Points Against: 328 (20.5/g) 12th of 32,Expected W-L: 6.8-9.2,"SRS: -6.67 (28th of 32), 
  SOS: -4.23
"
mia,2010,"
  Record: 7-9-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 273 (17.1/g) 30th of 32,Points Against: 333 (20.8/g) 14th of 32,Expected W-L: 6.2-9.8,"SRS: .30 (15th of 32), 
  SOS: 4.05
"
min,2010,"
  Record: 6-10-0, 3rd	NFC North Division
   (Schedule and Results)
",Points For: 281 (17.6/g) 29th of 32,Points Against: 348 (21.8/g) 18th of 32,Expected W-L: 6.0-10.0,"SRS: -1.59 (21st of 32), 
  SOS: 2.59
"
nwe,2010,"
  Record: 14-2-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 518 (32.4/g) 1st of 32,Points Against: 313 (19.6/g) 8th of 32,Expected W-L: 12.3-3.7,"SRS: 15.38 (1st of 32), 
  SOS: 2.57
"
nor,2010,"
  Record: 11-5-0, 2nd	NFC South Division
   (Schedule and Results)
",Points For: 384 (24.0/g) 11th of 32,Points Against: 307 (19.2/g) 7th of 32,Expected W-L: 10.1-5.9,"SRS: 2.32 (11th of 32), 
  SOS: -2.50
"
nyg,2010,"
  Record: 10-6-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 394 (24.6/g) 7th of 32,Points Against: 347 (21.7/g) 17th of 32,Expected W-L: 9.2-6.8,"SRS: 2.11 (12th of 32), 
  SOS: -0.83
"
nyj,2010,"
  Record: 11-5-0, 2nd	AFC East Division
   (Schedule and Results)
",Points For: 367 (22.9/g) 13th of 32,Points Against: 304 (19.0/g) 6th of 32,Expected W-L: 9.8-6.2,"SRS: 6.47 (4th of 32), 
  SOS: 2.53
"
rai,2010,"
  Record: 8-8-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 410 (25.6/g) 6th of 32,Points Against: 371 (23.2/g) 20th of 32,Expected W-L: 8.9-7.1,"SRS: .18 (16th of 32), 
  SOS: -2.26
"
phi,2010,"
  Record: 10-6-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 439 (27.4/g) 3rd of 32,Points Against: 377 (23.6/g) 21st of 32,Expected W-L: 9.4-6.6,"SRS: 4.22 (8th of 32), 
  SOS: .34
"
pit,2010,"
  Record: 12-4-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 375 (23.4/g) 12th of 32,Points Against: 232 (14.5/g) 1st of 32,Expected W-L: 12.1-3.9,"SRS: 10.22 (3rd of 32), 
  SOS: 1.28
"
sdg,2010,"
  Record: 9-7-0, 2nd	AFC West Division
   (Schedule and Results)
",Points For: 441 (27.6/g) 2nd of 32,Points Against: 322 (20.1/g) 10th of 32,Expected W-L: 10.9-5.1,"SRS: 4.82 (7th of 32), 
  SOS: -2.62
"
sfo,2010,"
  Record: 6-10-0, 3rd	NFC West Division
   (Schedule and Results)
",Points For: 305 (19.1/g) 24th of 32,Points Against: 346 (21.6/g) 16th of 32,Expected W-L: 6.8-9.2,"SRS: -5.84 (27th of 32), 
  SOS: -3.27
"
sea,2010,"
  Record: 7-9-0, 1st	NFC West Division
   (Schedule and Results)
",Points For: 310 (19.4/g) 23rd of 32,Points Against: 407 (25.4/g) 25th of 32,Expected W-L: 5.5-10.5,"SRS: -9.44 (30th of 32), 
  SOS: -3.38
"
tam,2010,"
  Record: 10-6-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 341 (21.3/g) 20th of 32,Points Against: 318 (19.9/g) 9th of 32,Expected W-L: 8.7-7.3,"SRS: -0.58 (17th of 32), 
  SOS: -2.02
"
oti,2010,"
  Record: 6-10-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 356 (22.3/g) 17th of 32,Points Against: 339 (21.2/g) 15th of 32,Expected W-L: 8.5-7.5,"SRS: 1.02 (14th of 32), 
  SOS: -0.04
"
was,2010,"
  Record: 6-10-0, 3rd	NFC East Division
   (Schedule and Results)
",Points For: 302 (18.9/g) 25th of 32,Points Against: 377 (23.6/g) 21st of 32,Expected W-L: 5.9-10.1,"SRS: -3.81 (24th of 32), 
  SOS: .88
"
crd,2011,"
  Record: 8-8-0, 2nd	NFC West Division
   (Schedule and Results)
",Points For: 312 (19.5/g) 24th of 32,Points Against: 348 (21.8/g) 17th of 32,Expected W-L: 7.0-9.0,"SRS: -2.21 (21st of 32), 
  SOS: .04
"
atl,2011,"
  Record: 10-6-0, 2nd	NFC South Division
   (Schedule and Results)
",Points For: 402 (25.1/g) 7th of 32,Points Against: 350 (21.9/g) 18th of 32,Expected W-L: 9.3-6.7,"SRS: 3.53 (10th of 32), 
  SOS: .28
"
rav,2011,"
  Record: 12-4-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 378 (23.6/g) 12th of 32,Points Against: 266 (16.6/g) 3rd of 32,Expected W-L: 11.2-4.8,"SRS: 6.10 (5th of 32), 
  SOS: -0.90
"
buf,2011,"
  Record: 6-10-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 372 (23.3/g) 14th of 32,Points Against: 434 (27.1/g) 30th of 32,Expected W-L: 6.6-9.4,"SRS: -3.37 (22nd of 32), 
  SOS: .50
"
car,2011,"
  Record: 6-10-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 406 (25.4/g) 5th of 32,Points Against: 429 (26.8/g) 27th of 32,Expected W-L: 7.5-8.5,"SRS: -1.30 (20th of 32), 
  SOS: .14
"
chi,2011,"
  Record: 8-8-0, 3rd	NFC North Division
   (Schedule and Results)
",Points For: 353 (22.1/g) 17th of 32,Points Against: 341 (21.3/g) 14th of 32,Expected W-L: 8.3-7.7,"SRS: 1.65 (11th of 32), 
  SOS: .90
"
cin,2011,"
  Record: 9-7-0, 3rd	AFC North Division
   (Schedule and Results)
",Points For: 344 (21.5/g) 18th of 32,Points Against: 323 (20.2/g) 9th of 32,Expected W-L: 8.6-7.4,"SRS: .46 (18th of 32), 
  SOS: -0.85
"
cle,2011,"
  Record: 4-12-0, 4th	AFC North Division
   (Schedule and Results)
",Points For: 218 (13.6/g) 30th of 32,Points Against: 307 (19.2/g) 5th of 32,Expected W-L: 4.9-11.1,"SRS: -5.39 (26th of 32), 
  SOS: .17
"
dal,2011,"
  Record: 8-8-0, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 369 (23.1/g) 15th of 32,Points Against: 347 (21.7/g) 16th of 32,Expected W-L: 8.6-7.4,"SRS: 1.63 (12th of 32), 
  SOS: .25
"
den,2011,"
  Record: 8-8-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 309 (19.3/g) 25th of 32,Points Against: 390 (24.4/g) 24th of 32,Expected W-L: 5.8-10.2,"SRS: -5.30 (25th of 32), 
  SOS: -0.23
"
det,2011,"
  Record: 10-6-0, 2nd	NFC North Division
   (Schedule and Results)
",Points For: 474 (29.6/g) 4th of 32,Points Against: 387 (24.2/g) 23rd of 32,Expected W-L: 9.9-6.1,"SRS: 6.07 (6th of 32), 
  SOS: .63
"
gnb,2011,"
  Record: 15-1-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 560 (35.0/g) 1st of 32,Points Against: 359 (22.4/g) 19th of 32,Expected W-L: 11.9-4.1,"SRS: 11.36 (2nd of 32), 
  SOS: -1.21
"
htx,2011,"
  Record: 10-6-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 381 (23.8/g) 10th of 32,Points Against: 278 (17.4/g) 4th of 32,Expected W-L: 10.9-5.1,"SRS: 4.54 (9th of 32), 
  SOS: -1.90
"
clt,2011,"
  Record: 2-14-0, 4th	AFC South Division
   (Schedule and Results)
",Points For: 243 (15.2/g) 28th of 32,Points Against: 430 (26.9/g) 28th of 32,Expected W-L: 3.3-12.7,"SRS: -11.28 (32nd of 32), 
  SOS: .40
"
jax,2011,"
  Record: 5-11-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 243 (15.2/g) 28th of 32,Points Against: 329 (20.6/g) 11th of 32,Expected W-L: 5.2-10.8,"SRS: -5.64 (27th of 32), 
  SOS: -0.26
"
kan,2011,"
  Record: 7-9-0, 4th	AFC West Division
   (Schedule and Results)
",Points For: 212 (13.3/g) 31st of 32,Points Against: 338 (21.1/g) 12th of 32,Expected W-L: 4.0-12.0,"SRS: -8.10 (29th of 32), 
  SOS: -0.22
"
ram,2011,"
  Record: 2-14-0, 4th	NFC West Division
   (Schedule and Results)
",Points For: 193 (12.1/g) 32nd of 32,Points Against: 407 (25.4/g) 26th of 32,Expected W-L: 2.3-13.7,"SRS: -10.45 (30th of 32), 
  SOS: 2.93
"
mia,2011,"
  Record: 6-10-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 329 (20.6/g) 20th of 32,Points Against: 313 (19.6/g) 6th of 32,Expected W-L: 8.5-7.5,"SRS: .95 (14th of 32), 
  SOS: -0.05
"
min,2011,"
  Record: 3-13-0, 4th	NFC North Division
   (Schedule and Results)
",Points For: 340 (21.3/g) 19th of 32,Points Against: 449 (28.1/g) 31st of 32,Expected W-L: 5.5-10.5,"SRS: -5.73 (28th of 32), 
  SOS: 1.09
"
nwe,2011,"
  Record: 13-3-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 513 (32.1/g) 3rd of 32,Points Against: 342 (21.4/g) 15th of 32,Expected W-L: 11.6-4.4,"SRS: 9.27 (3rd of 32), 
  SOS: -1.42
"
nor,2011,"
  Record: 13-3-0, 1st	NFC South Division
   (Schedule and Results)
",Points For: 547 (34.2/g) 2nd of 32,Points Against: 339 (21.2/g) 13th of 32,Expected W-L: 12.1-3.9,"SRS: 11.40 (1st of 32), 
  SOS: -1.60
"
nyg,2011,"
  Record: 9-7-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 394 (24.6/g) 9th of 32,Points Against: 400 (25.0/g) 25th of 32,Expected W-L: 7.9-8.1,"SRS: 1.59 (13th of 32), 
  SOS: 1.96
"
nyj,2011,"
  Record: 8-8-0, 2nd	AFC East Division
   (Schedule and Results)
",Points For: 377 (23.6/g) 13th of 32,Points Against: 363 (22.7/g) 20th of 32,Expected W-L: 8.4-7.6,"SRS: .91 (15th of 32), 
  SOS: .03
"
rai,2011,"
  Record: 8-8-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 359 (22.4/g) 16th of 32,Points Against: 433 (27.1/g) 29th of 32,Expected W-L: 6.3-9.7,"SRS: -4.92 (24th of 32), 
  SOS: -0.30
"
phi,2011,"
  Record: 8-8-0, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 396 (24.8/g) 8th of 32,Points Against: 328 (20.5/g) 10th of 32,Expected W-L: 9.8-6.2,"SRS: 4.72 (8th of 32), 
  SOS: .47
"
pit,2011,"
  Record: 12-4-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 325 (20.3/g) 21st of 32,Points Against: 227 (14.2/g) 1st of 32,Expected W-L: 11.2-4.8,"SRS: 5.29 (7th of 32), 
  SOS: -0.84
"
sdg,2011,"
  Record: 8-8-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 406 (25.4/g) 5th of 32,Points Against: 377 (23.6/g) 22nd of 32,Expected W-L: 8.7-7.3,"SRS: .87 (16th of 32), 
  SOS: -0.94
"
